path,label
G:\data\XDTestClipFeatures\Braveheart.1995__#02-05-34_02-06-40_label_B1-0-0__0.npy,B1-0-0
G:\data\XDTestClipFeatures\A.Beautiful.Mind.2001__#00-25-20_00-29-20_label_A__0.npy,A
G:\data\XDTestClipFeatures\A.Beautiful.Mind.2001__#00-40-52_00-42-01_label_A__0.npy,A
G:\data\XDTestClipFeatures\A.Beautiful.Mind.2001__#00-50-26_00-55-16_label_A__0.npy,A
G:\data\XDTestClipFeatures\A.Beautiful.Mind.2001__#01-14-30_01-16-59_label_A__0.npy,A
G:\data\XDTestClipFeatures\About.Time.2013__#00-23-50_00-24-31_label_A__0.npy,A
G:\data\XDTestClipFeatures\About.Time.2013__#00-30-50_00-32-31_label_A__0.npy,A
G:\data\XDTestClipFeatures\About.Time.2013__#00-40-52_00-42-31_label_A__0.npy,A
G:\data\XDTestClipFeatures\Black.Hawk.Down.2001__#01-42-58_01-43-58_label_G-0-0__0.npy,G-0-0
G:\data\XDTestClipFeatures\Black.Hawk.Down.2001__#02-00-12_02-01-29_label_B2-0-0__0.npy,B2-0-0
G:\data\XDTestClipFeatures\Shoot.Em.Up.2007__#00-56-56_00-57-15_label_B2-0-0__0.npy,B2-0-0
G:\data\XDTestClipFeatures\Skyfall.2012__#00-03-22_00-03-40_label_B6-0-0__0.npy,B6-0-0
G:\data\XDTestClipFeatures\Skyfall.2012__#00-06-10_00-06-25_label_B6-0-0__0.npy,B6-0-0
G:\data\XDTestClipFeatures\The.Fast.and.the.Furious.2001__#00-52-18_00-53-36_label_B1-0-0__0.npy,B1-0-0
G:\data\XDTestClipFeatures\The.Notebook.2004__#00-08-55_00-10-50_label_A__0.npy,A
G:\data\XDTestClipFeatures\The.Notebook.2004__#00-11-00_00-15-08_label_A__0.npy,A
G:\data\XDTestClipFeatures\The.Notebook.2004__#00-20-35_00-23-06_label_A__0.npy,A
G:\data\XDTestClipFeatures\The.Notebook.2004__#00-25-20_00-29-20_label_A__0.npy,A
G:\data\XDTestClipFeatures\The.Notebook.2004__#01-30-25_01-33-56_label_A__0.npy,A
G:\data\XDTestClipFeatures\The.Notebook.2004__#01-52-20_01-58-00_label_A__0.npy,A
G:\data\XDTestClipFeatures\Election.2005__#00-47-57_00-50-54_label_B5-0-0__0.npy,B5-0-0
G:\data\XDTestClipFeatures\Election.2005__#00-03-35_00-05-05_label_A__0.npy,A
G:\data\XDTestClipFeatures\Sin.City.2005__#0-22-04_0-22-18_label_B5-0-0__0.npy,B5-0-0
G:\data\XDTestClipFeatures\v=ICnreR1hxP0__#1_label_B4-0-0__0.npy,B4-0-0
